City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
131,khorixas,-20.3667,14.9667,33.86,7,1,6.5,NA,1693148384
132,brookings,44.3114,-96.7984,18.58,88,7,1.34,US,1693148384
133,bengkulu,-3.8004,102.2655,24.72,88,28,5.41,ID,1693148384
134,zalesovo,53.9939,84.7431,17.63,78,98,1.97,RU,1693148384
135,ambato boeny,-16.4667,46.7167,29.29,28,2,0.42,MG,1693148384
136,mejit,10.2753,170.8646,27.67,80,96,6.99,MH,1693148384
137,luanda,-8.8368,13.2343,24.0,73,20,5.66,AO,1693148385
138,kiunga,-6.1219,141.2906,22.02,97,99,1.89,PG,1693148385
139,vernon,50.2581,-119.2691,19.05,67,0,2.06,CA,1693148385
140,colonia,50.9333,6.95,22.76,53,20,6.69,DE,1693148385
141,chinde,26.8418,88.0763,18.89,93,100,1.09,NP,1693148385
142,gokwe,-18.2048,28.9349,23.06,38,7,7.23,ZW,1693148275
143,isafjordur,66.0755,-23.124,15.02,51,20,5.14,IS,1693148386
144,apolinario saravia,-24.4328,-63.9954,19.14,29,9,2.44,AR,1693148386
145,zaki biam,7.5167,9.6167,23.06,92,100,1.18,NG,1693148386
146,mildura,-34.2,142.15,10.6,83,89,3.8,AU,1693148108
147,qamdo,31.1667,97.2333,4.44,91,100,1.76,CN,1693148386
148,lata,40.1629,-8.3327,22.26,35,53,6.87,PT,1693148386
149,aruppukkottai,9.5167,78.1,31.24,53,100,4.76,IN,1693148387
150,colesberg,-30.72,25.0972,17.56,15,0,4.93,ZA,1693148387
151,port mathurin,-19.6833,63.4167,22.63,76,0,11.38,MU,1693148387
152,howard springs,-12.497,131.047,23.79,81,45,2.11,AU,1693148387
153,san matias,-16.3667,-58.4,32.41,23,3,2.16,BO,1693148387
154,ferny grove,-27.4034,152.9331,16.82,89,20,3.09,AU,1693148387
155,aquiraz,-3.9014,-38.3911,30.05,55,5,5.26,BR,1693148387
156,qaqortoq,60.7167,-46.0333,7.37,71,7,2.05,GL,1693148388
157,al wajh,26.2455,36.4525,33.97,52,0,9.26,SA,1693148388
158,olinda,-8.0089,-34.8553,29.85,62,40,3.6,BR,1693148388
159,taksimo,56.3444,114.8794,14.39,78,61,1.44,RU,1693148388
160,atafu village,-8.5421,-172.5159,27.88,77,66,5.4,TK,1693148388
161,iskateley,67.6803,53.1512,7.34,89,100,4.48,RU,1693148388
162,san rafael,-34.6177,-68.3301,12.74,45,2,4.45,AR,1693148389
